Insight Version,1.0.5.2,,,,,,
Generation Time,12/7/2022 18:23,,,,,,
Date From,12/7/2022 10:28,,,,,,
Date To,12/7/2022 18:23,,,,,,
,,,,,,,
GMP251,U3730359,1.3.4,,,,,
,,,,,,,
GMP251,U3930116,1.3.4,,,,,
,,,,,,,
Timestamp,GMP251 U3730359 - Carbon dioxide concentration (%),GMP251 U3930116 - Carbon dioxide concentration (%),,,,,
12/7/2022 11:05,12.86324,7.550322,,,,,
12/7/2022 11:05,12.868077,7.534437,,,,,
12/7/2022 11:05,12.868763,7.523862,,,,,
12/7/2022 11:06,12.869045,7.517169,,,,,
12/7/2022 11:06,12.861982,7.506709,,,,,
12/7/2022 11:06,12.840216,7.498466,,,,,
12/7/2022 11:06,12.828959,7.49872,,,,,
12/7/2022 11:06,12.822685,7.497824,,,,,
12/7/2022 11:06,12.795632,7.497208,,,,,
12/7/2022 11:06,12.781431,7.500805,,,,,
12/7/2022 11:06,12.77808,7.501088,,,,,
12/7/2022 11:06,12.777032,7.500823,,,,,
12/7/2022 11:06,12.771954,7.500908,,,,,
12/7/2022 11:06,12.77019,7.500277,,,,,
12/7/2022 11:06,12.774188,7.500041,,,,,
12/7/2022 11:07,12.777229,7.499831,,,,,
12/7/2022 11:07,12.778245,7.49511,,,,,
12/7/2022 11:07,12.778802,7.494573,,,,,
12/7/2022 11:07,12.779488,7.493699,,,,,
12/7/2022 11:07,12.779366,7.493027,,,,,
12/7/2022 11:07,12.776434,7.492654,,,,,
12/7/2022 11:07,12.772286,7.477548,,,,,
12/7/2022 11:07,12.772124,7.466009,,,,,
12/7/2022 11:07,12.772112,7.45549,,,,,
12/7/2022 11:07,12.772031,7.450516,,,,,
12/7/2022 11:07,12.772741,7.44458,,,,,
12/7/2022 11:07,12.774509,7.441818,,,,,
12/7/2022 11:08,12.777423,7.440063,,,,,
12/7/2022 11:08,12.779902,7.441571,,,,,
12/7/2022 11:08,12.781864,7.447528,,,,,
12/7/2022 11:08,12.781889,7.447614,,,,,
12/7/2022 11:08,12.780062,7.448248,,,,,
12/7/2022 11:08,12.779531,7.447273,,,,,
12/7/2022 11:08,12.778952,7.437757,,,,,
12/7/2022 11:08,12.77192,7.432661,,,,,
12/7/2022 11:08,12.760083,7.425448,,,,,
12/7/2022 11:08,12.754881,7.40848,,,,,
12/7/2022 11:08,12.752084,7.405055,,,,,
12/7/2022 11:08,12.746465,7.402079,,,,,
